,AD,DLB,PD,SVAD
ctx_lh_caudalanteriorcingulate,0.020479365845290844,0.02054372243532773,0.020662516322373554,0.02069273753246522
ctx_lh_caudalmiddlefrontal,0.014614782326503307,0.01465686090638959,0.01473170541262939,0.014749938662528475
ctx_lh_cuneus,0.026579270591778226,0.02711470946730923,0.026997458502535647,0.02689398691543356
ctx_lh_entorhinal,0.02572486462558269,0.0251860933071272,0.024383777355381258,0.025788461368788023
ctx_lh_fusiform,0.015339576659505198,0.01510936238117636,0.01523160049379812,0.015343568014016156
ctx_lh_inferiorparietal,0.014191367995107425,0.014202709772413169,0.014239470541942585,0.014188257927680414
ctx_lh_inferiortemporal,0.01328431756894971,0.013280835931051468,0.013655571757545365,0.013417501753275173
ctx_lh_isthmuscingulate,0.012927681864462887,0.012759838028928812,0.012280059425623657,0.012878147075471181
ctx_lh_lateraloccipital,0.016231580605949848,0.016279800429357477,0.0163667609449942,0.016388299359379185
ctx_lh_lateralorbitofrontal,0.011098466047882838,0.011223394362296838,0.01135104320280443,0.01106361370178851
ctx_lh_lingual,0.018178911169007418,0.01817122436871605,0.018757070330280817,0.018386257677306533
ctx_lh_medialorbitofrontal,0.014336332514245511,0.014663966517481957,0.014736517214971072,0.014362360364475357
ctx_lh_middletemporal,0.014635867534626435,0.014420983622885152,0.014535200843540019,0.014639691672858541
ctx_lh_parahippocampal,0.030905482658571796,0.03092962028030517,0.031030873031436087,0.0308944577698294
ctx_lh_paracentral,0.019400163572365597,0.01976210426253952,0.019683036535923626,0.01961260546678124
ctx_lh_parsopercularis,0.014503519396134248,0.014515100364853964,0.014553066766848767,0.014500261454645447
ctx_lh_parsorbitalis,0.016101774818209638,0.016319661082286278,0.016545652143172426,0.01603902819979693
ctx_lh_parstriangularis,0.01713065862010402,0.01712387198996249,0.01766450534428087,0.017322121934403936
ctx_lh_pericalcarine,0.01595206291660241,0.015946290186550697,0.01643609005820321,0.016125668801004002
ctx_lh_postcentral,0.01403195720466144,0.013841359546759045,0.013298086040562701,0.013975672430443654
ctx_lh_posteriorcingulate,0.01272028335877173,0.012547130423543761,0.012639515428513394,0.012723652439270183
ctx_lh_precentral,0.014914487348402288,0.015261320661406199,0.015338192905535937,0.014941973927821626
ctx_lh_precuneus,0.01686326664362104,0.016913885844412876,0.017005579017931254,0.017028408749763364
ctx_lh_rostralanteriorcingulate,0.01619258018747458,0.01618660021272878,0.016686770945436115,0.016369829360870385
ctx_lh_rostralmiddlefrontal,0.012329882944366162,0.012135089457508299,0.011841060125154946,0.012354086114939846
ctx_lh_superiorfrontal,0.011738284641429066,0.011875101253193849,0.012015327193214789,0.011699865124872656
ctx_lh_superiorparietal,0.011799412400441484,0.011937363851311026,0.012078789852534636,0.01176065210828272
ctx_lh_superiortemporal,0.013930133849108732,0.013741632222587364,0.013204210072420773,0.013874471119853432
ctx_lh_supramarginal,0.011509922973002672,0.011519212250287996,0.011545626481799538,0.011508082977862478
ctx_lh_transversetemporal,0.02593837948522466,0.02547727719989172,0.025720310697831428,0.025944888566034358
ctx_lh_insula,0.014238664400870897,0.013994851226846194,0.013628386671392637,0.01426848150816926
ctx_rh_caudalanteriorcingulate,0.022390797691479183,0.02272552753804041,0.023075127909398287,0.022292989452354396
ctx_rh_caudalmiddlefrontal,0.013381479911493197,0.013159679707273168,0.012825743902849974,0.013408775622218963
ctx_rh_cuneus,0.012558332842428358,0.012754926459494094,0.012712247895422718,0.012673305972978733
ctx_rh_entorhinal,0.031145486449710012,0.030602245764604612,0.029074957321640508,0.03098459516699771
ctx_rh_fusiform,0.014839698732228774,0.014620374818085287,0.014736915146369893,0.014843571119650662
ctx_rh_inferiorparietal,0.014066765165868734,0.01399739559484359,0.01410736726022806,0.013734968224980304
ctx_rh_inferiortemporal,0.015293629196173067,0.015077030788779403,0.014461207421727027,0.015229631888407416
ctx_rh_isthmuscingulate,0.01332072528140259,0.01310048500652278,0.012768853107681792,0.013347842875064101
ctx_rh_lateraloccipital,0.01513576934576976,0.015489946473179191,0.015568471508543525,0.015163813810694328
ctx_rh_lateralorbitofrontal,0.012183717074449886,0.01221655933045296,0.012273183830544787,0.012286447584148208
ctx_rh_lingual,0.014122241771693788,0.014052442846650625,0.014163061825773057,0.013788492225404745
ctx_rh_medialorbitofrontal,0.014834796891703578,0.0150864063619043,0.015031619631899239,0.014982200937469402
ctx_rh_middletemporal,0.012896528387736745,0.013054862846201271,0.013217852605328692,0.01285165128506063
ctx_rh_parahippocampal,0.023778905895852756,0.023797587675425034,0.02387134262074197,0.023771255651149806
ctx_rh_paracentral,0.01557691216413514,0.015495854183531799,0.015623395851094731,0.015192017608324547
ctx_rh_parsopercularis,0.018951516723212946,0.018844338485767942,0.019011139804333013,0.01844797403709719
ctx_rh_parsorbitalis,0.016556746325307466,0.016606201713688543,0.01669559962300655,0.01671780219979818
ctx_rh_parstriangularis,0.014136222859229063,0.013895042652698078,0.013532469111571518,0.014165738555903773
ctx_rh_pericalcarine,0.01714380991898171,0.0170506234391045,0.01719639443648326,0.0167038251149194
ctx_rh_postcentral,0.013458017913979206,0.013756492215927037,0.013822480068682629,0.013481829891125703
ctx_rh_posteriorcingulate,0.012008919881173915,0.011955478250870444,0.01204150994868414,0.011749474459040113
ctx_rh_precentral,0.012155529832498038,0.012300098246514582,0.012448524700416385,0.012114783893913253
ctx_rh_precuneus,0.011916676479406134,0.011732494979212877,0.01145414646191218,0.011939664063249398
ctx_rh_rostralanteriorcingulate,0.020147166858224902,0.020137788599048495,0.020808527518643673,0.020384336158193503
ctx_rh_rostralmiddlefrontal,0.01341709654908643,0.013228764184246235,0.013329091235482125,0.01342063118625242
ctx_rh_superiorfrontal,0.012657419531455145,0.012495146083883968,0.012030910345362094,0.012609537019237536
ctx_rh_superiorparietal,0.014049771956371885,0.014229533262063762,0.014415190651380205,0.01399846564666091
ctx_rh_superiortemporal,0.011495642901159172,0.011322271603847071,0.01105989742394694,0.011517392206524868
ctx_rh_supramarginal,0.013830275551268483,0.01376273494828601,0.013869958211733549,0.013506787042978571
ctx_rh_transversetemporal,0.028662882414565004,0.029466182917661277,0.02964579179959669,0.028725051354787926
ctx_rh_insula,0.016063214733700128,0.016344509174754326,0.016283189158907505,0.01622811766530202
