,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
ctx_lh_caudalanteriorcingulate,0.004918443359973033,0.004751780164828507,0.004514912887270093,0.004373524900948086,0.16574424543401042,0.0039733335978398435,0.004216957235076774,0.005446416210688428,0.005114612800377917,0.003863036910101928
ctx_lh_caudalmiddlefrontal,0.004918636710544203,0.0047520124570925495,0.004515047958320342,0.004373658035628821,0.1063440786410188,0.003973462511875989,0.0042169877962119125,0.0054468237783239235,0.005114824344954857,0.0038631878827409373
ctx_lh_cuneus,0.004918110413998878,0.004751465839924184,0.004514620695326674,0.004373263856537446,0.004791131065675437,0.003973091503261169,0.0042166708156802304,0.005446072289355201,0.23095564158396242,0.003862827637807505
ctx_lh_entorhinal,0.004918799272440588,0.0047522897512114895,0.004515206403190571,0.00437375195072753,0.0047917865540990446,0.003973519891603088,0.0042171313706167194,0.005446782182730097,0.005114965784558808,0.2052006675414123
ctx_lh_fusiform,0.11265217231685924,0.004752066326739911,0.00451509001660603,0.004373725260170369,0.0047917119374622265,0.003973470193010997,0.00421706631066612,0.005446712976793061,0.005114891308652382,0.0038632268290707205
ctx_lh_inferiorparietal,0.004918908502983435,0.004752257511314193,0.1006222729732173,0.0043738943258830295,0.0047919069745094986,0.003973620581585666,0.004217177031718743,0.005446964229886291,0.0051150683907469595,0.0038633625567954517
ctx_lh_inferiortemporal,0.004919149732896498,0.004752460394707913,0.004515422725197075,0.004374032882536748,0.004792086127488372,0.003973749732368456,0.09176502930482114,0.0054471405377711935,0.005115235350660121,0.003863530865625893
ctx_lh_isthmuscingulate,0.004918934305123587,0.08593527057205397,0.00451533564793312,0.004373870192845778,0.004791917129176199,0.003973614539110333,0.004217181606198859,0.00544693100238944,0.005115132510696874,0.0038633909573641866
ctx_lh_lateraloccipital,0.004918700786554432,0.004752006938274849,0.004515044484271494,0.004373683683365905,0.12271961088572221,0.003973440341194485,0.004217029957058561,0.0054467029886409125,0.005114814232982104,0.0038631743213718792
ctx_lh_lateralorbitofrontal,0.0049192509885446125,0.004752603840054596,0.004515529803432921,0.004374176003547406,0.004792250030499371,0.0689345603769215,0.004217449475196648,0.00544740005759591,0.005115513671178499,0.003863603776116019
